id,product_desc,product_rate,product_price
49,"Smart TV Crystal 65"" 4K UHD Samsung CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",4.6,3699.0
50,Fast Smart TV Philco 32” PTV32G7PR2CSBLH Dolby Audio Led Bivolt,4.9,999.9
51,"Smart TV LED 55"" 4K UHD LG 55UQ8050PSB - IA LG ThinQ, Alexa",4.7,
52,"Smart TV Neo QLED 50"" 4K UHD Samsung QN90C - Alexa Built-in, Processador com IA, Mini LED",4.4,4099.0
53,"Smart TV 50"" 4K LG NanoCell 50NANO77SRA Bluetooth ThinQ AI Alexa Google assistente Airplay 3 HDMI, Light Black",5.0,
54,"Smart TV Crystal 55"" 4K UHD Samsung CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",4.3,2777.99
55,"HQ Smart TV LED 32"" HD Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim",4.2,929.0
56,"Smart TV LED 70"" 4K UHD Samsung UN70BU8000 - Alexa built-in, Wifi, HDMI",4.6,
57,"PHILIPS Android TV Ambilight 65"" 4K 65PUG7906/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.5,3699.0
58,"Smart TV Crystal 70"" 4K UHD Samsung CU7700 - Alexa built in, Samsung Gaming Hub",4.3,4399.0
59,"PHILIPS Android TV 70"" 4K 70PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.5,
60,"PHILIPS Android TV Ambilight 55"" 4K 55PUG7906/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.6,2563.1
61,"Smart TV LED 50"" 4K UHD Semp RK8600 - Roku, Alexa, Wifi",4.8,1999.9
62,"LG 43LM631C0SB - Smart TV LED 43', FULL HD, IA LG ThinQ, Wifi",4.7,1999.0
63,"Smart TV QLED 55"" 4K UHD Philco PTV55G2SAGSSBL - Wifi, Bluetooth",4.7,2299.9
64,"SmartTV Aiwa 43” Full HD, Borda Ultrafina, HDR10, Dolby Áudio - AWS-TV-43-BL-01 TV 43"" SMART - BORDA INFINITA AWS-TV-43-BL-01 BIVOLT",4.3,
65,"Smart TV LED 32' HD Semp 32R6500 - Wifi, HDMI, USB",4.6,
66,"Smart TV LED 40”, BTV40E3AAGSSGBLF, Britânia, Android TV, Dolby Audio",4.1,1299.9
67,"TCL C835 - Smart TV QLED 65"" 4K UHD, Google TV, Wifi, Bluetooth, Mini LED",4.8,5823.9
68,PHILCO TV 24” PTV24N19D Recepção Digital HD Led,4.5,729.9
69,"Smart TV QLED 65"" 4K UHD Samsung Q60C - Alexa built in, Modo Game, Tela sem limites",4.6,4799.0
70,"Smart TV OLED 55"" 4K UHD Samsung 55S90C - Alexa built in, Processador com IA, Painel de Pontos Quanticos",4.9,6099.0
71,"Smart TV LED 75"" 4K UHD Samsung UN75AU7700GXZD - Alexa built-in",4.7,6999.9
72,"Smart TV LED 43"" FULL HD Samsung UN43T5300AGXZD - Wifi, HDMI",4.7,1862.11
73,"Smart TV LED, 50"", Ultra HD 4K, LH50BETHVGGXZD, Samsung, 2HDMI, 1USB, Wifi",4.7,2299.17
74,"Smart TV QLED 50"" 4K UHD Samsung QN50LS03B - The Frame, Tela Matte",4.6,
75,"Samsung UN32T4300AGXZD - Smart TV LED 32"" HD, Wifi, HDMI, USB",4.7,1179.0
76,"Smart TV LED 65"" 4K UHD TCL 65P735 - Google TV, Wifi, HDMI",4.5,3048.64
77,"Smart TV QLED 55"" 4K UHD Samsung Q70C - Alexa built in, Modo Game, Tela sem limites",4.6,3799.0
78,"Samsung Monitor 21,5 S22F350Fhl Preto Brilhante",4.7,517.0
79,"PHILIPS Android TV 55"" 4K 55PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.6,2499.0
80,"Smart TV LED Crystal UHD 65"", 4K, Samsung ‎LH65BEAHVGGXZD, Tizen, Wi-Fi, 3 HDMI, 1 USB, Bluetooth",4.6,3599.0
81,"Samsung Smart TV QLED 4K Q60C 2023 Modo Game Tela sem limites 50"" 50""",5.0,2799.0
